Activity,Calories_130_lbs,Calories_155_lbs,Calories_190_lbs
"Aerobics, general",354,422,518
"Aerobics, high impact",413,493,604
"Aerobics, low impact",295,352,431
Archery (nonhunting),207,246,302
Automobile repair,177,211,259
"Backpacking, general",413,493,604
"Badminton, competitive",413,493,604
"Badminton, social, general",266,317,388
"Basketball, game",472,563,690
"Basketball, nongame, general",354,422,518
"Basketball, officiating",413,493,604
"Basketball, shooting baskets",266,317,388
"Basketball, wheelchair",384,457,561
"Bicycling, 10-11.9mph, light effort",354,422,518
"Bicycling, 12-13.9mph, moderate effort",472,563,690
"Bicycling, 14-15.9mph, vigorous effort",590,704,863
"Bicycling, 16-19mph, very fast, racing",708,844,1035
"Bicycling, <10mph, leisure",236,281,345
"Bicycling, >20mph, racing",944,1126,1380
"Bicycling, BMX or mountain",502,598,733
"Bicycling, stationary, general",295,352,431
"Bicycling, stationary, light effort",325,387,474
"Bicycling, stationary, moderate effort",413,493,604
"Bicycling, stationary, very light effort",177,211,259
"Bicycling, stationary, very vigorous effort",738,880,1078
"Bicycling, stationary, vigorous effort",620,739,906
Billiards,148,176,216
Bowling,177,211,259
"Boxing, in ring, general",708,844,1035
"Boxing, punching bag",354,422,518
"Boxing, sparring",531,633,776
Broomball,413,493,604
"Calisthenics (pushups, sit-ups), vigorous effort",472,563,690
"Calisthenics, home, light/moderate effort",266,317,388
"Canoeing, rowing, >6 mp h, vigorous effort",708,844,1035
"Canoeing, rowing, crewing, competition",708,844,1035
"Canoeing, rowing, light effort",177,211,259
"Canoeing, rowing, moderate effort",413,493,604
"Carpentry, general",207,246,302
"Carrying heavy loads, such as bricks",472,563,690
"Child care: sitting/kneeling-dressing, feeding",177,211,259
"Child care: standing-dressing, feeding",207,246,302
"Circuit training, general",472,563,690
"Cleaning, heavy, vigorous effort",266,317,388
"Cleaning, house, general",207,246,302
"Cleaning, light, moderate effort",148,176,216
"Coaching: football, soccer, basketball, etc.",236,281,345
"Construction, outside, remodeling",325,387,474
Cooking or food preparation,148,176,216
"Cricket (batting, bowling)",295,352,431
Croquet,148,176,216
Curling,236,281,345
"Dancing, aerobic, ballet or modern, twist",354,422,518
"Dancing, ballroom, fast",325,387,474
"Dancing, ballroom, slow",177,211,259
"Dancing, general",266,317,388
"Darts, wall or lawn",148,176,216
"Diving, springboard or platform",177,211,259
"Electrical work, plumbing",207,246,302
"Farming, baling hay, cleaning barn",472,563,690
"Farming, milking by hand",177,211,259
"Farming, shoveling grain",325,387,474
Fencing,354,422,518
"Fishing from boat, sitting",148,176,216
"Fishing from river bank, standing",207,246,302
"Fishing in stream, in waders",354,422,518
"Fishing, general",236,281,345
"Fishing, ice, sitting",118,141,173
"Football or baseball, playing catch",148,176,216
"Football, competitive",531,633,776
"Football, touch, flag, general",472,563,690
"Frisbee playing, general",177,211,259
"Frisbee, ultimate",207,246,302
"Gardening, general",295,352,431
"Golf, carrying clubs",325,387,474
"Golf, general",236,281,345
"Golf, miniature or driving range",177,211,259
"Golf, pulling clubs",295,352,431
"Golf, using power cart",207,246,302
"Gymnastics, general",236,281,345
Hacky sack,236,281,345
"Handball, general",708,844,1035
"Handball, team",472,563,690
"Health club exercise, general",325,387,474
"Hiking, cross country",354,422,518
"Hockey, field",472,563,690
"Hockey, ice",472,563,690
Horse grooming,354,422,518
"Horse racing, galloping",472,563,690
"Horseback riding, general",236,281,345
